x_value,theta,r
15,165.359375,132.5
15,167.890625,134.5
15,169.5,136.25
15,171.0,137.5
15,170.78125,138.0
15,173.59375,138.75
15,175.09375,139.0
15,174.828125,139.0
15,176.171875,139.25
15,179.109375,140.0
15,178.875,140.25
15,180.234375,141.25
15,182.921875,143.0
15,182.921875,144.75
15,184.28125,147.0
15,185.625,149.75
15,186.984375,152.25
15,188.328125,155.0
15,189.6875,157.0
15,204.6875,239.0
15,206.71875,220.25
15,206.921875,216.0
15,208.078125,216.5
15,210.453125,212.75
15,212.21875,211.0
15,212.890625,209.0
15,213.9375,207.25
15,216.28125,205.25
15,217.640625,203.75
15,218.984375,202.5
15,220.34375,201.25
15,220.875,200.5
15,222.265625,200.0
15,224.40625,199.25
15,225.765625,199.25
15,227.125,199.5
15,228.46875,200.0
15,229.578125,200.5
15,231.1875,201.5
15,232.546875,202.5
15,233.828125,203.75
15,235.15625,205.25
15,235.5625,207.5
15,237.859375,210.0
15,238.65625,213.5
15,242.21875,232.75
15,243.859375,239.25
15,248.671875,295.0
15,249.625,304.75
15,250.875,315.25
15,251.890625,326.75
15,253.5,339.0
15,254.3125,355.75
15,259.125,441.75
15,260.6875,426.5
15,261.96875,418.75
15,263.1875,416.25
15,264.890625,420.75
15,270.203125,1546.5
15,271.625,1546.75
15,272.9375,1547.75
15,274.265625,1546.5
15,275.5625,1547.25
15,276.921875,1549.25
15,278.25,1549.5
15,279.59375,1549.5
15,280.953125,1558.25
15,282.234375,1566.0
15,283.578125,1572.0
15,284.96875,1576.0
15,286.328125,1586.0
15,287.609375,1599.0
15,293.046875,651.75
12,299.859375,246.25
15,296.921875,664.75
15,298.375,658.25
15,299.9375,594.25
10,302.265625,711.0
15,302.75,1234.0
15,304.1875,1181.0
15,305.578125,1138.5
15,306.984375,1097.25
15,308.359375,1059.25
15,309.8125,1026.0
12,313.0,741.25
12,314.421875,740.75
10,315.703125,737.5
9,316.984375,731.0
15,319.78125,717.0
15,324.46875,277.25
15,322.265625,814.25
15,323.609375,800.0
15,325.0,784.25
15,326.34375,784.25
15,327.9375,757.75
15,329.171875,745.25
14,330.890625,647.0
8,332.234375,659.5
15,336.546875,557.0
15,338.03125,553.0
15,339.359375,545.5
15,340.609375,567.25
8,342.0625,540.25
11,347.875,220.25
15,346.0,575.75
15,347.203125,619.0
10,348.34375,654.25
15,353.234375,330.25
15,359.21875,625.0
15,0.75,624.0
15,2.09375,630.25
15,3.5625,598.0
15,4.796875,616.0
15,5.984375,627.0
13,7.765625,536.0
15,10.078125,628.25
15,11.375,632.75
15,14.046875,419.0
15,15.1875,420.5
15,16.5625,418.75
15,18.21875,416.5
15,19.421875,416.0
15,20.984375,415.0
15,22.328125,413.75
15,23.453125,415.25
15,24.96875,414.75
15,26.078125,415.75
15,27.765625,415.0
15,28.8125,415.75
15,30.421875,416.5
15,35.328125,251.0
15,35.953125,249.0
13,38.578125,219.75
15,40.78125,158.5
15,41.8125,153.25
15,43.984375,150.25
15,44.546875,147.25
15,45.90625,144.25
15,47.25,141.75
15,48.609375,140.0
15,49.96875,138.75
15,51.3125,137.5
15,52.671875,136.0
15,54.015625,134.5
12,55.375,132.75
15,165.9375,132.25
15,167.453125,134.25
15,167.90625,136.0
15,169.265625,137.25
15,170.625,138.0
15,172.765625,138.75
15,173.34375,139.0
15,174.703125,139.0
15,176.0625,139.5
15,177.671875,140.0
15,178.765625,140.25
15,180.125,141.25
15,182.8125,143.0
15,183.890625,144.75
15,184.203125,147.0
15,185.5625,149.75
15,186.859375,152.25
15,188.203125,154.5
15,189.5625,156.75
15,203.8125,239.5
15,206.65625,221.25
15,208.0,216.0
15,209.359375,216.25
15,210.828125,213.5
15,212.1875,211.5
15,213.546875,209.0
15,214.34375,207.25
15,216.265625,205.25
15,217.625,203.75
15,218.65625,202.75
15,220.34375,201.25
15,221.703125,200.5
15,223.0625,199.75
15,224.421875,199.5
15,225.78125,199.25
15,227.140625,199.75
15,227.875,200.25
15,228.984375,200.75
15,231.21875,201.75
15,232.015625,202.75
15,233.875,203.75
15,235.21875,205.25
15,236.171875,207.5
15,237.9375,210.0
15,239.046875,213.5
15,243.359375,233.25
15,243.015625,240.0
15,248.59375,296.5
15,250.015625,305.5
15,250.921875,316.5
15,252.484375,328.25
15,253.5625,341.25
15,254.53125,358.75
15,259.3125,437.5
15,260.640625,424.5
15,262.109375,417.25
15,263.671875,415.5
15,264.71875,421.0
15,267.75,1552.5
15,269.109375,1550.25
15,270.46875,1548.25
15,271.828125,1543.75
15,273.171875,1548.25
15,274.546875,1547.75
15,275.71875,1548.75
15,277.09375,1548.0
15,278.46875,1549.5
15,279.8125,1556.25
15,281.15625,1563.5
15,282.515625,1566.25
15,283.8125,1571.25
15,285.15625,1577.75
15,286.5,1589.25
13,293.109375,661.25
15,297.265625,663.0
15,298.515625,653.5
15,301.359375,690.5
15,304.453125,1176.25
15,305.875,1126.5
15,307.34375,1088.25
15,308.6875,1051.75
15,310.0625,1033.0
15,313.328125,740.0
12,314.765625,739.0
10,316.15625,733.75
15,318.765625,754.0
15,319.953125,824.25
15,322.640625,809.0
15,324.046875,795.0
15,325.421875,777.0
15,326.84375,771.0
15,328.265625,755.0
15,329.578125,743.25
15,331.125,657.0
15,335.609375,564.75
15,337.09375,557.75
15,338.390625,549.25
15,339.671875,547.0
15,341.3125,540.25
15,342.640625,530.25
14,348.953125,217.25
15,345.140625,552.25
15,346.328125,589.25
13,350.71875,355.0
15,355.34375,265.75
15,354.484375,623.0
15,355.71875,633.5
15,357.140625,632.0
15,358.34375,625.5
15,359.734375,624.25
15,1.203125,616.5
15,2.53125,623.75
15,5.296875,622.75
15,10.609375,629.0
15,11.921875,633.75
