x_value,theta,r
8,326.03125,321.25
15,329.640625,229.75
15,328.625,335.5
15,329.359375,343.0
15,330.546875,353.0
15,331.890625,362.75
15,333.3125,373.5
15,334.53125,384.75
15,335.796875,397.5
15,336.984375,415.75
15,338.3125,413.0
15,339.890625,406.5
15,341.390625,401.5
15,342.46875,396.25
15,344.03125,391.0
15,345.328125,386.25
15,346.9375,382.5
15,348.5,377.75
15,349.921875,373.75
15,350.84375,371.25
15,352.5625,367.25
15,354.046875,359.75
15,355.28125,365.75
15,356.53125,367.75
11,0.765625,351.25
15,2.265625,351.0
15,4.671875,352.5
15,10.625,349.75
15,11.640625,350.0
15,17.125,140.25
15,18.546875,139.75
15,20.953125,139.5
15,21.28125,139.25
15,23.859375,139.0
15,25.671875,138.5
15,25.375,138.5
15,26.734375,137.75
15,28.890625,138.25
15,29.46875,138.0
15,30.828125,138.25
15,32.203125,138.25
15,33.578125,138.0
15,36.03125,138.5
15,37.984375,137.25
15,37.65625,134.75
9,39.015625,134.5
15,43.484375,144.25
15,45.484375,142.75
15,46.515625,143.25
15,47.25,145.0
15,48.625,145.5
15,50.0,146.25
8,51.359375,148.5
11,52.71875,149.5
10,54.09375,152.25
15,104.671875,133.25
13,127.953125,131.25
15,129.828125,133.25
11,130.703125,136.0
15,137.015625,251.25
15,138.4375,252.75
15,138.84375,254.5
15,141.0,255.5
15,142.59375,257.25
15,144.03125,261.75
15,145.25,266.75
15,146.28125,260.25
15,150.03125,812.0
15,151.375,798.75
15,153.59375,540.75
15,155.0625,529.0
15,156.5,524.5
15,158.3125,490.0
15,164.828125,165.0
15,166.1875,162.75
15,167.5625,164.75
15,168.921875,169.0
15,172.546875,218.25
15,175.765625,164.25
15,177.140625,162.0
15,178.5,163.5
15,179.859375,167.0
13,183.359375,416.5
15,184.625,419.25
15,185.765625,433.25
15,187.15625,454.25
15,188.1875,481.75
15,189.546875,500.25
15,190.90625,502.25
15,192.125,504.75
15,193.453125,509.25
15,194.84375,514.0
15,196.34375,521.0
15,197.484375,529.25
15,198.859375,540.25
15,200.09375,552.5
15,201.453125,570.75
6,202.78125,573.25
15,204.03125,587.5
15,205.71875,565.75
15,207.15625,545.75
15,208.65625,521.25
15,210.203125,501.0
15,211.46875,488.5
15,212.890625,480.75
15,214.421875,475.5
15,215.640625,473.5
15,217.109375,470.25
15,218.515625,472.75
15,219.71875,475.5
15,221.296875,479.75
15,222.4375,486.75
15,223.671875,497.75
15,225.21875,510.25
15,226.34375,518.75
15,227.8125,522.75
15,229.046875,528.5
15,230.28125,533.75
15,231.59375,543.0
15,233.0625,557.75
15,234.25,583.5
15,235.359375,620.5
15,236.828125,639.75
15,238.078125,633.5
15,239.625,629.25
15,240.921875,629.0
15,242.171875,632.0
15,243.640625,636.75
15,244.9375,644.25
15,246.390625,622.0
15,247.84375,611.5
15,249.21875,609.5
15,250.484375,611.5
15,251.828125,621.75
15,257.375,1402.25
12,258.734375,1433.25
14,261.890625,539.5
15,262.734375,1683.25
15,265.5,1663.0
